informed,frozen,horizon,spread_capture,adverse_selection,total,volume
0.00,0,0.25,0.970476,-0.204555,0.765921,8828
0.00,0,0.50,0.970472,-0.213577,0.756895,8828
0.00,0,1.00,0.970471,-0.223199,0.747273,8828
0.00,0,2.00,0.970465,-0.238922,0.731543,8828
0.00,0,5.00,0.970565,-0.266247,0.704318,8828
0.00,0,10.00,0.970444,-0.293738,0.676706,8828
0.00,0,25.00,0.970661,-0.304470,0.666192,8828
0.00,0,50.00,0.970582,-0.313319,0.657262,8828
0.50,0,0.25,1.022762,-0.310949,0.711814,17642
0.50,0,0.50,1.022789,-0.329599,0.693189,17642
0.50,0,1.00,1.022835,-0.349801,0.673034,17642
0.50,0,2.00,1.022872,-0.379470,0.643402,17642
0.50,0,5.00,1.022941,-0.425817,0.597125,17642
0.50,0,10.00,1.022961,-0.465226,0.557734,17642
0.50,0,25.00,1.022977,-0.513181,0.509796,17642
0.50,0,50.00,1.022712,-0.530456,0.492256,17642
1.00,0,0.25,1.047121,-0.376536,0.670585,23927
1.00,0,0.50,1.047122,-0.400442,0.646679,23927
1.00,0,1.00,1.047144,-0.439749,0.607396,23927
1.00,0,2.00,1.047123,-0.490723,0.556400,23927
1.00,0,5.00,1.047166,-0.596654,0.450512,23927
1.00,0,10.00,1.047120,-0.722738,0.324382,23927
1.00,0,25.00,1.047183,-0.917788,0.129395,23927
1.00,0,50.00,1.047177,-1.079409,-0.032231,23927
1.50,0,0.25,1.068915,-0.452588,0.616327,28321
1.50,0,0.50,1.068915,-0.500719,0.568196,28321
1.50,0,1.00,1.068899,-0.594774,0.474125,28321
1.50,0,2.00,1.068901,-0.762125,0.306776,28321
1.50,0,5.00,1.068853,-1.184022,-0.115168,28321
1.50,0,10.00,1.068924,-1.610473,-0.541549,28321
1.50,0,25.00,1.068681,-2.098129,-1.029448,28321
1.50,0,50.00,1.068952,-2.271923,-1.202971,28321
2.00,0,0.25,1.081572,-0.535178,0.546394,31247
2.00,0,0.50,1.081560,-0.624897,0.456663,31247
2.00,0,1.00,1.081563,-0.785370,0.296193,31247
2.00,0,2.00,1.081579,-1.100269,-0.018690,31247
2.00,0,5.00,1.081607,-1.800277,-0.718671,31247
2.00,0,10.00,1.081665,-2.444026,-1.362361,31247
2.00,0,25.00,1.081433,-2.957259,-1.875826,31247
2.00,0,50.00,1.081363,-2.979421,-1.898058,31247
3.00,0,0.25,1.091726,-0.659465,0.432261,36600
3.00,0,0.50,1.091698,-0.825475,0.266223,36600
3.00,0,1.00,1.091710,-1.152134,-0.060424,36600
3.00,0,2.00,1.091738,-1.754006,-0.662268,36600
3.00,0,5.00,1.091740,-3.037907,-1.946167,36600
3.00,0,10.00,1.091746,-3.962967,-2.871221,36600
3.00,0,25.00,1.091871,-3.855685,-2.763814,36600
3.00,0,50.00,1.091563,-3.906606,-2.815043,36600
4.00,0,0.25,1.105362,-0.760136,0.345226,39369
4.00,0,0.50,1.105362,-0.991878,0.113485,39369
4.00,0,1.00,1.105365,-1.427245,-0.321880,39369
4.00,0,2.00,1.105398,-2.238580,-1.133182,39369
4.00,0,5.00,1.105463,-3.767204,-2.661742,39369
4.00,0,10.00,1.105462,-4.294558,-3.189096,39369
4.00,0,25.00,1.105446,-4.011907,-2.906461,39369
4.00,0,50.00,1.105673,-3.955265,-2.849592,39369
6.00,0,0.25,1.114926,-0.883085,0.231841,42932
6.00,0,0.50,1.114870,-1.214395,-0.099525,42932
6.00,0,1.00,1.114836,-1.831170,-0.716334,42932
6.00,0,2.00,1.114803,-2.840652,-1.725849,42932
6.00,0,5.00,1.114820,-4.091379,-2.976560,42932
6.00,0,10.00,1.114857,-3.968051,-2.853194,42932
6.00,0,25.00,1.114728,-3.936831,-2.822103,42932
6.00,0,50.00,1.114761,-3.816685,-2.701924,42932
8.00,0,0.25,1.122956,-0.983890,0.139066,44410
8.00,0,0.50,1.122942,-1.396011,-0.273069,44410
8.00,0,1.00,1.122938,-2.157586,-1.034648,44410
8.00,0,2.00,1.122882,-3.300024,-2.177141,44410
8.00,0,5.00,1.122936,-4.177741,-3.054805,44410
8.00,0,10.00,1.122933,-3.889686,-2.766752,44410
8.00,0,25.00,1.122884,-3.835020,-2.712136,44410
8.00,0,50.00,1.122910,-3.942752,-2.819843,44410
2.00,1,0.25,1.037797,-0.335727,0.702071,14065
2.00,1,0.50,1.037798,-0.356584,0.681213,14065
2.00,1,1.00,1.037808,-0.379890,0.657918,14065
2.00,1,2.00,1.037799,-0.414116,0.623682,14065
2.00,1,5.00,1.037830,-0.477254,0.560576,14065
2.00,1,10.00,1.037959,-0.504697,0.533262,14065
2.00,1,25.00,1.038263,-0.499193,0.539070,14065
2.00,1,50.00,1.038061,-0.496843,0.541218,14065
4.00,1,0.25,1.058062,-0.401909,0.656153,16350
4.00,1,0.50,1.058045,-0.422038,0.636007,16350
4.00,1,1.00,1.058066,-0.465598,0.592468,16350
4.00,1,2.00,1.058089,-0.501547,0.556541,16350
4.00,1,5.00,1.058086,-0.545980,0.512106,16350
4.00,1,10.00,1.058030,-0.553693,0.504338,16350
4.00,1,25.00,1.058116,-0.539862,0.518254,16350
4.00,1,50.00,1.058419,-0.543978,0.514441,16350
